# Rescue Logfile. Created by GNU ddrescue version 1.19
# Command line: ddrescue -i 506600000000 -s 10000000 /dev/sdf /dev/sdg dc_roig.log -nvvf -MA -e 1 -a 100000
# Start time:   2015-02-12 17:18:24
# Current time: 2015-02-12 17:20:47
# Copying non-tried blocks... Pass 1 (forwards)
# current_pos  current_status
0x75F3BC0000     ?
#      pos        size  status
0x19EB328000  0x0027A000  +
0x19EB5A2000  0x00001000  ?
0x19EB5A3000  0x0011F000  +
0x19EB6C2000  0x00001000  ?
0x19EB6C3000  0x0011F000  +
0x19EB7E2000  0x00001000  ?
0x19EB7E3000  0x0011F000  +
0x19EB902000  0x00001000  ?
0x19EB903000  0x0011F000  +
0x19EBA22000  0x00001000  ?
0x19EBA23000  0x0011F000  +
0x19EBB42000  0x00001000  ?
0x19EBB43000  0x0027A000  +
0x19EBDBD000  0x00000200  -
0x19EBDBD200  0x00000C00  ?
0x19EBDBDE00  0x00000200  -
0x19EBDBE000  0x0011F000  +
0x19EBEDD000  0x00001000  ?
0x19EBEDE000  0x0011F000  +
0x19EBFFD000  0x00001000  ?
0x19EBFFE000  0x0011F000  +
0x19EC11D000  0x00001000  ?
0x19EC11E000  0x0011F000  +
0x19EC23D000  0x00001000  ?
0x19EC23E000  0x0011F000  +
0x19EC35D000  0x00001000  ?
0x19EC35E000  0x0027A000  +
0x19EC5D8000  0x00001000  ?
0x19EC5D9000  0x0011F000  +
0x19EC6F8000  0x00000200  -
0x19EC6F8200  0x00000C00  ?
0x19EC6F8E00  0x00000200  -
0x19EC6F9000  0x0011F000  +
0x19EC818000  0x00001000  ?
0x19EC819000  0x0011F000  +
0x19EC938000  0x00001000  ?
0x19EC939000  0x0011F000  +
0x19ECA58000  0x00001000  ?
0x19ECA59000  0x0011F000  +
0x19ECB78000  0x00001000  ?
0x19ECB79000  0x0027A000  +
0x19ECDF3000  0x00001000  ?
0x19ECDF4000  0x0011F000  +
0x19ECF13000  0x00001000  ?
0x19ECF14000  0x0011F000  +
0x19ED033000  0x00000200  -
0x19ED033200  0x00000C00  ?
0x19ED033E00  0x00000200  -
0x19ED034000  0x0011F000  +
0x19ED153000  0x00001000  ?
0x19ED154000  0x0011F000  +
0x19ED273000  0x00001000  ?
0x19ED274000  0x0011F000  +
0x19ED393000  0x00001000  ?
0x19ED394000  0x0027A000  +
0x19ED60E000  0x00001000  ?
0x19ED60F000  0x0011F000  +
0x19ED72E000  0x00001000  ?
0x19ED72F000  0x0011F000  +
0x19ED84E000  0x00001000  ?
0x19ED84F000  0x0011F000  +
0x19ED96E000  0x00000200  -
0x19ED96E200  0x00000C00  ?
0x19ED96EE00  0x00000200  -
0x19ED96F000  0x0011F000  +
0x19EDA8E000  0x00001000  ?
0x19EDA8F000  0x0027A000  +
0x19EDD09000  0x00001000  ?
0x19EDD0A000  0x0011F000  +
0x19EDE29000  0x00001000  ?
0x19EDE2A000  0x0011F000  +
0x19EDF49000  0x00001000  ?
0x19EDF4A000  0x0011F000  +
0x19EE069000  0x00001000  ?
0x19EE06A000  0x0011F000  +
0x19EE189000  0x00001000  ?
0x19EE18A000  0x0011F000  +
0x19EE2A9000  0x00001000  ?
0x19EE2AA000  0x0027A000  +
0x19EE524000  0x00000200  -
0x19EE524200  0x00000C00  ?
0x19EE524E00  0x00000200  -
0x19EE525000  0x0011F000  +
0x19EE644000  0x00001000  ?
0x19EE645000  0x0011F000  +
0x19EE764000  0x00001000  ?
0x19EE765000  0x0011F000  +
0x19EE884000  0x00001000  ?
0x19EE885000  0x0011F000  +
0x19EE9A4000  0x00001000  ?
0x19EE9A5000  0x0011F000  +
0x19EEAC4000  0x00001000  ?
0x19EEAC5000  0x0027A000  +
0x19EED3F000  0x00000200  -
0x19EED3F200  0x00000C00  ?
0x19EED3FE00  0x00000200  -
0x19EED40000  0x0011F000  +
0x19EEE5F000  0x00001000  ?
0x19EEE60000  0x0011F000  +
0x19EEF7F000  0x00001000  ?
0x19EEF80000  0x0011F000  +
0x19EF09F000  0x00001000  ?
0x19EF0A0000  0x0011F000  +
0x19EF1BF000  0x00001000  ?
0x19EF1C0000  0x0011F000  +
0x19EF2DF000  0x00001000  ?
0x19EF2E0000  0x0027A000  +
0x19EF55A000  0x00001000  ?
0x19EF55B000  0x0011F000  +
0x19EF67A000  0x00000200  -
0x19EF67A200  0x00000C00  ?
0x19EF67AE00  0x00000200  -
0x19EF67B000  0x0011F000  +
0x19EF79A000  0x00001000  ?
0x19EF79B000  0x0011F000  +
0x19EF8BA000  0x00001000  ?
0x19EF8BB000  0x0011F000  +
0x19EF9DA000  0x00001000  ?
0x19EF9DB000  0x0011F000  +
0x19EFAFA000  0x00001000  ?
0x19EFAFB000  0x0027A000  +
0x19EFD75000  0x00001000  ?
0x19EFD76000  0x0011F000  +
0x19EFE95000  0x00001000  ?
0x19EFE96000  0x0011F000  +
0x19EFFB5000  0x00000200  -
0x19EFFB5200  0x00000C00  ?
0x19EFFB5E00  0x00000200  -
0x19EFFB6000  0x0011F000  +
0x19F00D5000  0x00001000  ?
0x19F00D6000  0x0011F000  +
0x19F01F5000  0x00001000  ?
0x19F01F6000  0x0011F000  +
0x19F0315000  0x00001000  ?
0x19F0316000  0x0027A000  +
0x19F0590000  0x00001000  ?
0x19F0591000  0x0011F000  +
0x19F06B0000  0x00001000  ?
0x19F06B1000  0x0011F000  +
0x19F07D0000  0x00001000  ?
0x19F07D1000  0x0011F000  +
0x19F08F0000  0x00000200  -
0x19F08F0200  0x00000C00  ?
0x19F08F0E00  0x00000200  -
0x19F08F1000  0x0011F000  +
0x19F0A10000  0x00001000  ?
0x19F0A11000  0x0011F000  +
0x19F0B30000  0x00001000  ?
0x19F0B31000  0x0027A000  +
0x19F0DAB000  0x00001000  ?
0x19F0DAC000  0x0011F000  +
0x19F0ECB000  0x00001000  ?
0x19F0ECC000  0x0011F000  +
0x19F0FEB000  0x00001000  ?
0x19F0FEC000  0x0011F000  +
0x19F110B000  0x00001000  ?
0x19F110C000  0x00120000  +
0x19F122C000  0x00001000  ?
0x19F122D000  0x0011F000  +
0x19F134C000  0x00000200  -
0x19F134C200  0x00000C00  ?
0x19F134CE00  0x00000200  -
0x19F134D000  0x0027A000  +
0x19F15C7000  0x00001000  ?
0x19F15C8000  0x0011F000  +
0x19F16E7000  0x00001000  ?
0x19F16E8000  0x0011F000  +
0x19F1807000  0x00001000  ?
