# Rescue Logfile. Created by GNU ddrescue version 1.19
# Command line: ddrescue -i 506600000000 -s 10000000 /dev/sdf /dev/sdg dc_roig.log -nvvf -MA -e 1 -a 100000
# Start time:   2015-02-12 17:18:24
# Current time: 2015-02-12 17:20:47
# Copying non-tried blocks... Pass 1 (forwards)
# current_pos  current_status
0x75F3BC0000     ?
#      pos        size  status
0x308505AE00  0x00000200  -
0x308505B000  0x00110000  +
0x308516B000  0x00001000  ?
0x308516C000  0x00110000  +
0x308527C000  0x00001000  ?
0x308527D000  0x00259000  +
0x30854D6000  0x00001000  ?
0x30854D7000  0x00222000  +
0x30856F9000  0x00001000  ?
0x30856FA000  0x00221000  +
0x308591B000  0x00001000  ?
0x308591C000  0x00110000  +
0x3085A2C000  0x00000200  -
0x3085A2C200  0x00000C00  ?
0x3085A2CE00  0x00000200  -
0x3085A2D000  0x00259000  +
0x3085C86000  0x00001000  ?
0x3085C87000  0x00221000  +
0x3085EA8000  0x00001000  ?
0x3085EA9000  0x00110000  +
0x3085FB9000  0x00001000  ?
0x3085FBA000  0x00110000  +
0x30860CA000  0x00001000  ?
0x30860CB000  0x00110000  +
0x30861DB000  0x00001000  ?
0x30861DC000  0x00259000  +
0x3086435000  0x00000200  -
0x3086435200  0x00000C00  ?
0x3086435E00  0x00000200  -
0x3086436000  0x00110000  +
0x3086546000  0x00001000  ?
0x3086547000  0x00221000  +
0x3086768000  0x00001000  ?
0x3086769000  0x00111000  +
0x308687A000  0x00001000  ?
0x308687B000  0x00110000  +
0x308698B000  0x00001000  ?
0x308698C000  0x00259000  +
0x3086BE5000  0x00001000  ?
0x3086BE6000  0x00110000  +
0x3086CF6000  0x00000200  -
0x3086CF6200  0x00110E00  +
0x3086E07000  0x00000200  -
0x3086E07200  0x00000E00  ?
0x3086E08000  0x00110000  +
0x3086F18000  0x00001000  ?
0x3086F19000  0x00110000  +
0x3087029000  0x00001000  ?
0x308702A000  0x00110000  +
0x308713A000  0x00001000  ?
0x308713B000  0x0047B000  +
0x30875B6000  0x00001000  ?
0x30875B7000  0x00221000  +
0x30877D8000  0x00000200  -
0x30877D8200  0x00000C00  ?
0x30877D8E00  0x00000200  -
0x30877D9000  0x00259000  +
0x3087A32000  0x00001000  ?
0x3087A33000  0x00111000  +
0x3087B44000  0x00001000  ?
0x3087B45000  0x00110000  +
0x3087C55000  0x00001000  ?
0x3087C56000  0x00221000  +
0x3087E77000  0x00001000  ?
0x3087E78000  0x00110000  +
0x3087F88000  0x00001000  ?
0x3087F89000  0x00259000  +
0x30881E2000  0x00000200  -
0x30881E2200  0x00221E00  +
0x3088404000  0x00000200  -
0x3088404200  0x00000E00  ?
0x3088405000  0x00110000  +
0x3088515000  0x00001000  ?
0x3088516000  0x00110000  +
0x3088626000  0x00001000  ?
0x3088627000  0x0036A000  +
0x3088991000  0x00000200  -
0x3088991200  0x00000C00  ?
0x3088991E00  0x00000200  -
0x3088992000  0x00110000  +
0x3088AA2000  0x00000200  ?
0x3088AA2200  0x00110E00  +
0x3088BB3000  0x00001000  ?
0x3088BB4000  0x00222000  +
0x3088DD6000  0x00001000  ?
0x3088DD7000  0x00110000  +
0x3088EE7000  0x00000200  ?
0x3088EE7200  0x00259E00  +
0x3089141000  0x00001000  ?
0x3089142000  0x00110000  +
0x3089252000  0x00001000  ?
0x3089253000  0x00110000  +
0x3089363000  0x00000200  -
0x3089363200  0x00000C00  ?
0x3089363E00  0x00000200  -
0x3089364000  0x00221000  +
0x3089585000  0x00001000  ?
0x3089586000  0x0036A000  +
0x30898F0000  0x00001000  ?
0x30898F1000  0x00221000  +
0x3089B12000  0x00001000  ?
0x3089B13000  0x00221000  +
0x3089D34000  0x00000200  -
0x3089D34200  0x00000C00  ?
0x3089D34E00  0x00000200  -
0x3089D35000  0x00111000  +
0x3089E46000  0x00001000  ?
0x3089E47000  0x00259000  +
0x308A0A0000  0x00001000  ?
0x308A0A1000  0x00110000  +
0x308A1B1000  0x00001000  ?
0x308A1B2000  0x00110000  +
0x308A2C2000  0x00001000  ?
0x308A2C3000  0x00110000  +
0x308A3D3000  0x00001000  ?
0x308A3D4000  0x00110000  +
0x308A4E4000  0x00001000  ?
0x308A4E5000  0x00110000  +
0x308A5F5000  0x00001000  ?
0x308A5F6000  0x00259000  +
0x308A84F000  0x00000200  -
0x308A84F200  0x00000C00  ?
0x308A84FE00  0x00000200  -
0x308A850000  0x00110000  +
0x308A960000  0x00001000  ?
0x308A961000  0x00110000  +
0x308AA71000  0x00001000  ?
0x308AA72000  0x00332000  +
0x308ADA4000  0x00001000  ?
0x308ADA5000  0x0036A000  +
0x308B10F000  0x00000200  -
0x308B10F200  0x00000C00  ?
0x308B10FE00  0x00000200  -
0x308B110000  0x00222000  +
0x308B332000  0x00001000  ?
0x308B333000  0x00110000  +
0x308B443000  0x00001000  ?
0x308B444000  0x00259000  +
0x308B69D000  0x00001000  ?
0x308B69E000  0x00221000  +
0x308B8BF000  0x00001000  ?
0x308B8C0000  0x00110000  +
0x308B9D0000  0x00000200  -
0x308B9D0200  0x00000C00  ?
0x308B9D0E00  0x00000200  -
0x308B9D1000  0x00110000  +
0x308BAE1000  0x00001000  ?
0x308BAE2000  0x00110000  +
0x308BBF2000  0x00001000  ?
0x308BBF3000  0x00259000  +
0x308BE4C000  0x00001000  ?
0x308BE4D000  0x00221000  +
0x308C06E000  0x00001000  ?
0x308C06F000  0x00110000  +
0x308C17F000  0x00000200  ?
0x308C17F200  0x0058DE00  +
0x308C70D000  0x00000200  -
0x308C70D200  0x352053E00  +
0x33DE761000  0x00000200  -
0x33DE761200  0x00000C00  ?
0x33DE761E00  0x00000200  -
0x33DE762000  0x0021B000  +
0x33DE97D000  0x00001000  ?
0x33DE97E000  0x00251000  +
0x33DEBCF000  0x00000200  -
0x33DEBCF200  0x00000C00  ?
0x33DEBCFE00  0x00000200  -
0x33DEBD0000  0x0010D000  +
0x33DECDD000  0x00001000  ?
0x33DECDE000  0x0010D000  +
0x33DEDEB000  0x00001000  ?
0x33DEDEC000  0x0010D000  +
0x33DEEF9000  0x00001000  ?
0x33DEEFA000  0x0010C000  +
0x33DF006000  0x00001000  ?
0x33DF007000  0x00360000  +
0x33DF367000  0x00001000  ?
0x33DF368000  0x0010D000  +
0x33DF475000  0x00001000  ?
0x33DF476000  0x0010C000  +
0x33DF582000  0x00000200  -
0x33DF582200  0x00000C00  ?
0x33DF582E00  0x00000200  -
0x33DF583000  0x0010D000  +
0x33DF690000  0x00001000  ?
0x33DF691000  0x0010D000  +
0x33DF79E000  0x00001000  ?
0x33DF79F000  0x0010D000  +
0x33DF8AC000  0x00001000  ?
0x33DF8AD000  0x00251000  +
0x33DFAFE000  0x00001000  ?
0x33DFAFF000  0x0010D000  +
0x33DFC0C000  0x00001000  ?
0x33DFC0D000  0x0010D000  +
0x33DFD1A000  0x00001000  ?
0x33DFD1B000  0x0010D000  +
0x33DFE28000  0x00001000  ?
0x33DFE29000  0x0010C000  +
0x33DFF35000  0x00000200  -
0x33DFF35200  0x00000C00  ?
0x33DFF35E00  0x00000200  -
0x33DFF36000  0x0010D000  +
0x33E0043000  0x00001000  ?
0x33E0044000  0x00252000  +
0x33E0296000  0x00001000  ?
0x33E0297000  0x0010D000  +
0x33E03A4000  0x00001000  ?
0x33E03A5000  0x0010C000  +
0x33E04B1000  0x00001000  ?
0x33E04B2000  0x0010D000  +
0x33E05BF000  0x00001000  ?
0x33E05C0000  0x0010D000  +
0x33E06CD000  0x00001000  ?
0x33E06CE000  0x0010D000  +
0x33E07DB000  0x00001000  ?
0x33E07DC000  0x00251000  +
0x33E0A2D000  0x00000200  -
0x33E0A2D200  0x00000C00  ?
0x33E0A2DE00  0x00000200  -
0x33E0A2E000  0x0010D000  +
0x33E0B3B000  0x00001000  ?
0x33E0B3C000  0x0010D000  +
0x33E0C49000  0x00001000  ?
0x33E0C4A000  0x0010D000  +
0x33E0D57000  0x00001000  ?
0x33E0D58000  0x0010C000  +
0x33E0E64000  0x00001000  ?
0x33E0E65000  0x0010D000  +
0x33E0F72000  0x00001000  ?
0x33E0F73000  0x00252000  +
0x33E11C5000  0x00000200  -
0x33E11C5200  0x00000C00  ?
0x33E11C5E00  0x00000200  -
0x33E11C6000  0x0010D000  +
0x33E12D3000  0x00001000  ?
0x33E12D4000  0x0010C000  +
0x33E13E0000  0x00001000  ?
0x33E13E1000  0x0010D000  +
0x33E14EE000  0x00001000  ?
0x33E14EF000  0x0010D000  +
0x33E15FC000  0x00001000  ?
0x33E15FD000  0x0010D000  +
0x33E170A000  0x00001000  ?
0x33E170B000  0x00251000  +
0x33E195C000  0x00001000  ?
0x33E195D000  0x0010D000  +
0x33E1A6A000  0x00001000  ?
0x33E1A6B000  0x0010D000  +
0x33E1B78000  0x00000200  -
0x33E1B78200  0x00000C00  ?
0x33E1B78E00  0x00000200  -
0x33E1B79000  0x0010D000  +
0x33E1C86000  0x00001000  ?
0x33E1C87000  0x0010C000  +
0x33E1D93000  0x00001000  ?
0x33E1D94000  0x00252000  +
0x33E1FE6000  0x00001000  ?
0x33E1FE7000  0x0010D000  +
0x33E20F4000  0x00001000  ?
0x33E20F5000  0x0010D000  +
0x33E2202000  0x00001000  ?
0x33E2203000  0x0010C000  +
0x33E230F000  0x00001000  ?
0x33E2310000  0x0010D000  +
0x33E241D000  0x00001000  ?
0x33E241E000  0x0010D000  +
0x33E252B000  0x00000200  -
0x33E252B200  0x00000C00  ?
0x33E252BE00  0x00000200  -
0x33E252C000  0x00252000  +
0x33E277E000  0x00001000  ?
0x33E277F000  0x0010C000  +
0x33E288B000  0x00001000  ?
0x33E288C000  0x0010D000  +
0x33E2999000  0x00001000  ?
0x33E299A000  0x0010D000  +
0x33E2AA7000  0x00001000  ?
0x33E2AA8000  0x0010D000  +
0x33E2BB5000  0x00001000  ?
0x33E2BB6000  0x0010C000  +
0x33E2CC2000  0x00001000  ?
0x33E2CC3000  0x00252000  +
0x33E2F15000  0x00000200  -
0x33E2F15200  0x00000C00  ?
0x33E2F15E00  0x00000200  -
0x33E2F16000  0x0010D000  +
0x33E3023000  0x00001000  ?
0x33E3024000  0x0010D000  +
0x33E3131000  0x00001000  ?
0x33E3132000  0x0010C000  +
0x33E323E000  0x00001000  ?
0x33E323F000  0x0010D000  +
0x33E334C000  0x00001000  ?
0x33E334D000  0x0010D000  +
0x33E345A000  0x00001000  ?
0x33E345B000  0x00252000  +
0x33E36AD000  0x00001000  ?
0x33E36AE000  0x0010C000  +
0x33E37BA000  0x00001000  ?
0x33E37BB000  0x0010D000  +
0x33E38C8000  0x00000200  -
0x33E38C8200  0x00000C00  ?
0x33E38C8E00  0x00000200  -
0x33E38C9000  0x0010D000  +
0x33E39D6000  0x00001000  ?
0x33E39D7000  0x0010D000  +
0x33E3AE4000  0x00001000  ?
0x33E3AE5000  0x0010C000  +
0x33E3BF1000  0x00001000  ?
0x33E3BF2000  0x00252000  +
0x33E3E44000  0x00001000  ?
0x33E3E45000  0x0010D000  +
0x33E3F52000  0x00001000  ?
0x33E3F53000  0x0010D000  +
0x33E4060000  0x00001000  ?
0x33E4061000  0x0010C000  +
0x33E416D000  0x00000200  -
0x33E416D200  0x00000C00  ?
0x33E416DE00  0x00000200  -
0x33E416E000  0x0010D000  +
0x33E427B000  0x00001000  ?
0x33E427C000  0x0010D000  +
0x33E4389000  0x00001000  ?
0x33E438A000  0x00252000  +
0x33E45DC000  0x00001000  ?
0x33E45DD000  0x0010C000  +
0x33E46E9000  0x00001000  ?
0x33E46EA000  0x0010D000  +
0x33E47F7000  0x00001000  ?
0x33E47F8000  0x0010D000  +
0x33E4905000  0x00001000  ?
0x33E4906000  0x0010D000  +
0x33E4A13000  0x00001000  ?
0x33E4A14000  0x0010C000  +
0x33E4B20000  0x00000200  -
0x33E4B20200  0x00000C00  ?
0x33E4B20E00  0x00000200  -
0x33E4B21000  0x00252000  +
0x33E4D73000  0x00001000  ?
0x33E4D74000  0x0010D000  +
0x33E4E81000  0x00001000  ?
0x33E4E82000  0x0010D000  +
0x33E4F8F000  0x00001000  ?
0x33E4F90000  0x0010C000  +
0x33E509C000  0x00001000  ?
0x33E509D000  0x0010D000  +
0x33E51AA000  0x00001000  ?
0x33E51AB000  0x0010D000  +
0x33E52B8000  0x00001000  ?
0x33E52B9000  0x00252000  +
0x33E550B000  0x00000200  -
0x33E550B200  0x00000C00  ?
0x33E550BE00  0x00000200  -
0x33E550C000  0x0010C000  +
0x33E5618000  0x00001000  ?
0x33E5619000  0x0010D000  +
0x33E5726000  0x00001000  ?
0x33E5727000  0x0010D000  +
0x33E5834000  0x00001000  ?
0x33E5835000  0x0010D000  +
0x33E5942000  0x00001000  ?
0x33E5943000  0x0010C000  +
0x33E5A4F000  0x00001000  ?
0x33E5A50000  0x00252000  +
0x33E5CA2000  0x00001000  ?
0x33E5CA3000  0x0010D000  +
0x33E5DB0000  0x00001000  ?
0x33E5DB1000  0x0010D000  +
0x33E5EBE000  0x00000200  -
0x33E5EBE200  0x00000C00  ?
0x33E5EBEE00  0x00000200  -
0x33E5EBF000  0x0010C000  +
0x33E5FCB000  0x00001000  ?
0x33E5FCC000  0x0010D000  +
0x33E60D9000  0x00001000  ?
0x33E60DA000  0x00252000  +
0x33E632C000  0x00001000  ?
0x33E632D000  0x0010D000  +
0x33E643A000  0x00001000  ?
0x33E643B000  0x0010C000  +
0x33E6547000  0x00001000  ?
0x33E6548000  0x0010D000  +
0x33E6655000  0x00001000  ?
0x33E6656000  0x0010D000  +
0x33E6763000  0x00001000  ?
0x33E6764000  0x0010D000  +
0x33E6871000  0x00000200  -
0x33E6871200  0x00000C00  ?
0x33E6871E00  0x00000200  -
0x33E6872000  0x00251000  +
0x33E6AC3000  0x00001000  ?
0x33E6AC4000  0x0010D000  +
0x33E6BD1000  0x00001000  ?
0x33E6BD2000  0x0010D000  +
0x33E6CDF000  0x00001000  ?
0x33E6CE0000  0x0010D000  +
0x33E6DED000  0x00001000  ?
0x33E6DEE000  0x0010C000  +
0x33E6EFA000  0x00001000  ?
0x33E6EFB000  0x0010D000  +
0x33E7008000  0x00001000  ?
0x33E7009000  0x00360000  +
0x33E7369000  0x00000200  -
0x33E7369200  0x00000C00  ?
0x33E7369E00  0x00000200  -
0x33E736A000  0x0010C000  +
0x33E7476000  0x00001000  ?
0x33E7477000  0x0021B000  +
0x33E7692000  0x00001000  ?
0x33E7693000  0x0103C000  +
0x33E86CF000  0x00000200  -
0x33E86CF200  0x00000C00  ?
0x33E86CFE00  0x00000200  -
0x33E86D0000  0x882AD9000  +
0x3C6B1A9000  0x00000200  -
0x3C6B1A9200  0x00000C00  ?
0x3C6B1A9E00  0x00000200  -
0x3C6B1AA000  0x00106000  +
0x3C6B2B0000  0x00001000  ?
0x3C6B2B1000  0x00243000  +
0x3C6B4F4000  0x00001000  ?
0x3C6B4F5000  0x00106000  +
0x3C6B5FB000  0x00001000  ?
0x3C6B5FC000  0x00106000  +
0x3C6B702000  0x00000200  -
0x3C6B702200  0x00000C00  ?
0x3C6B702E00  0x00000200  -
0x3C6B703000  0x00106000  +
0x3C6B809000  0x00001000  ?
0x3C6B80A000  0x00106000  +
0x3C6B910000  0x00001000  ?
0x3C6B911000  0x00107000  +
0x3C6BA18000  0x00001000  ?
0x3C6BA19000  0x00243000  +
0x3C6BC5C000  0x00001000  ?
0x3C6BC5D000  0x00106000  +
0x3C6BD63000  0x00001000  ?
0x3C6BD64000  0x00106000  +
0x3C6BE6A000  0x00001000  ?
0x3C6BE6B000  0x00106000  +
0x3C6BF71000  0x00001000  ?
0x3C6BF72000  0x00106000  +
0x3C6C078000  0x00000200  -
0x3C6C078200  0x00000C00  ?
0x3C6C078E00  0x00000200  -
0x3C6C079000  0x00106000  +
0x3C6C17F000  0x00001000  ?
0x3C6C180000  0x00243000  +
0x3C6C3C3000  0x00001000  ?
0x3C6C3C4000  0x00106000  +
0x3C6C4CA000  0x00001000  ?
0x3C6C4CB000  0x00107000  +
0x3C6C5D2000  0x00001000  ?
0x3C6C5D3000  0x00106000  +
0x3C6C6D9000  0x00001000  ?
0x3C6C6DA000  0x00106000  +
0x3C6C7E0000  0x00001000  ?
0x3C6C7E1000  0x00106000  +
0x3C6C8E7000  0x00001000  ?
0x3C6C8E8000  0x00243000  +
0x3C6CB2B000  0x00000200  -
0x3C6CB2B200  0x00000C00  ?
0x3C6CB2BE00  0x00000200  -
0x3C6CB2C000  0x00106000  +
0x3C6CC32000  0x00001000  ?
0x3C6CC33000  0x00106000  +
0x3C6CD39000  0x00001000  ?
0x3C6CD3A000  0x00106000  +
0x3C6CE40000  0x00001000  ?
0x3C6CE41000  0x00106000  +
0x3C6CF47000  0x00001000  ?
0x3C6CF48000  0x00107000  +
0x3C6D04F000  0x00001000  ?
0x3C6D050000  0x00243000  +
0x3C6D293000  0x00001000  ?
0x3C6D294000  0x00106000  +
0x3C6D39A000  0x00000200  -
0x3C6D39A200  0x00000C00  ?
0x3C6D39AE00  0x00000200  -
0x3C6D39B000  0x00106000  +
0x3C6D4A1000  0x00001000  ?
0x3C6D4A2000  0x00106000  +
0x3C6D5A8000  0x00001000  ?
0x3C6D5A9000  0x00106000  +
0x3C6D6AF000  0x00001000  ?
0x3C6D6B0000  0x00106000  +
0x3C6D7B6000  0x00001000  ?
0x3C6D7B7000  0x00243000  +
0x3C6D9FA000  0x00001000  ?
0x3C6D9FB000  0x00106000  +
0x3C6DB01000  0x00001000  ?
0x3C6DB02000  0x00107000  +
0x3C6DC09000  0x00001000  ?
0x3C6DC0A000  0x00106000  +
0x3C6DD10000  0x00000200  -
0x3C6DD10200  0x00000C00  ?
0x3C6DD10E00  0x00000200  -
0x3C6DD11000  0x00106000  +
0x3C6DE17000  0x00001000  ?
0x3C6DE18000  0x00243000  +
0x3C6E05B000  0x00001000  ?
0x3C6E05C000  0x00106000  +
0x3C6E162000  0x00001000  ?
0x3C6E163000  0x00106000  +
0x3C6E269000  0x00001000  ?
0x3C6E26A000  0x0020D000  +
0x3C6E477000  0x00001000  ?
0x3C6E478000  0x00106000  +
0x3C6E57E000  0x00001000  ?
0x3C6E57F000  0x00244000  +
0x3C6E7C3000  0x00000200  -
0x3C6E7C3200  0x00000C00  ?
0x3C6E7C3E00  0x00000200  -
0x3C6E7C4000  0x00106000  +
0x3C6E8CA000  0x00001000  ?
0x3C6E8CB000  0x00106000  +
0x3C6E9D1000  0x00001000  ?
0x3C6E9D2000  0x00106000  +
0x3C6EAD8000  0x00001000  ?
0x3C6EAD9000  0x00106000  +
0x3C6EBDF000  0x00001000  ?
0x3C6EBE0000  0x00106000  +
0x3C6ECE6000  0x00000200  ?
0x3C6ECE6200  0x0034AE00  +
0x3C6F031000  0x00000200  -
0x3C6F031200  0x00000C00  ?
0x3C6F031E00  0x00000200  -
0x3C6F032000  0x00106000  +
0x3C6F138000  0x00001000  ?
0x3C6F139000  0x00107000  +
0x3C6F240000  0x00001000  ?
0x3C6F241000  0x00106000  +
0x3C6F347000  0x00001000  ?
0x3C6F348000  0x0034A000  +
0x3C6F692000  0x00000200  ?
0x3C6F692200  0x00106E00  +
0x3C6F799000  0x00001000  ?
0x3C6F79A000  0x0194B000  +
0x3C710E5000  0x00000200  -
0x3C710E5200  0x00000C00  ?
0x3C710E5E00  0x00000200  -
0x3C710E6000  0x06AF6000  +
0x3C77BDC000  0x00000200  -
0x3C77BDC200  0x00000C00  ?
0x3C77BDCE00  0x00000200  -
0x3C77BDD000  0x0065F000  +
0x3C7823C000  0x00000200  -
0x3C7823C200  0x00000C00  ?
0x3C7823CE00  0x00000200  -
0x3C7823D000  0x00315000  +
0x3C78552000  0x00001000  ?
0x3C78553000  0x0034A000  +
0x3C7889D000  0x00000200  -
0x3C7889D200  0x00000C00  ?
0x3C7889DE00  0x00000200  -
0x3C7889E000  0x00314000  +
0x3C78BB2000  0x00001000  ?
0x3C78BB3000  0x0020D000  +
0x3C78DC0000  0x00001000  ?
0x3C78DC1000  0x0034B000  +
0x3C7910C000  0x00001000  ?
0x3C7910D000  0x0020D000  +
0x3C7931A000  0x00000200  -
0x3C7931A200  0x00000C00  ?
0x3C7931AE00  0x00000200  -
0x3C7931B000  0x00451000  +
0x3C7976C000  0x00001000  ?
0x3C7976D000  0x00314000  +
0x3C79A81000  0x00001000  ?
0x3C79A82000  0x00107000  +
0x3C79B89000  0x00000200  -
0x3C79B89200  0x00000C00  ?
0x3C79B89E00  0x00000200  -
0x3C79B8A000  0x00243000  +
0x3C79DCD000  0x00001000  ?
0x3C79DCE000  0x00106000  +
0x3C79ED4000  0x00000200  ?
0x3C79ED4200  0x00106E00  +
0x3C79FDB000  0x00001000  ?
0x3C79FDC000  0x00106000  +
0x3C7A0E2000  0x00001000  ?
0x3C7A0E3000  0x00106000  +
0x3C7A1E9000  0x00001000  ?
0x3C7A1EA000  0x00106000  +
0x3C7A2F0000  0x00001000  ?
0x3C7A2F1000  0x00243000  +
0x3C7A534000  0x00000200  -
0x3C7A534200  0x00000C00  ?
0x3C7A534E00  0x00000200  -
0x3C7A535000  0x00106000  +
0x3C7A63B000  0x00001000  ?
0x3C7A63C000  0x00107000  +
0x3C7A743000  0x00001000  ?
0x3C7A744000  0x00106000  +
0x3C7A84A000  0x00001000  ?
0x3C7A84B000  0x00106000  +
0x3C7A951000  0x00001000  ?
0x3C7A952000  0x00106000  +
0x3C7AA58000  0x00001000  ?
0x3C7AA59000  0x00243000  +
0x3C7AC9C000  0x00001000  ?
0x3C7AC9D000  0x00106000  +
0x3C7ADA3000  0x00001000  ?
0x3C7ADA4000  0x00106000  +
0x3C7AEAA000  0x00000200  -
0x3C7AEAA200  0x00000C00  ?
0x3C7AEAAE00  0x00000200  -
0x3C7AEAB000  0x00106000  +
0x3C7AFB1000  0x00001000  ?
0x3C7AFB2000  0x00106000  +
0x3C7B0B8000  0x00001000  ?
0x3C7B0B9000  0x00107000  +
0x3C7B1C0000  0x00001000  ?
0x3C7B1C1000  0x00243000  +
0x3C7B404000  0x00001000  ?
0x3C7B405000  0x00106000  +
0x3C7B50B000  0x00001000  ?
0x3C7B50C000  0x00106000  +
0x3C7B612000  0x00001000  ?
0x3C7B613000  0x00106000  +
0x3C7B719000  0x00001000  ?
0x3C7B71A000  0x00106000  +
0x3C7B820000  0x00000200  -
0x3C7B820200  0x00000C00  ?
0x3C7B820E00  0x00000200  -
0x3C7B821000  0x00106000  +
0x3C7B927000  0x00001000  ?
0x3C7B928000  0x00243000  +
0x3C7BB6B000  0x00001000  ?
0x3C7BB6C000  0x00106000  +
0x3C7BC72000  0x00001000  ?
0x3C7BC73000  0x0020E000  +
0x3C7BE81000  0x00001000  ?
0x3C7BE82000  0x00106000  +
0x3C7BF88000  0x00000200  ?
0x3C7BF88200  0x00106E00  +
0x3C7C08F000  0x00001000  ?
0x3C7C090000  0x00243000  +
0x3C7C2D3000  0x00000200  -
0x3C7C2D3200  0x00000C00  ?
0x3C7C2D3E00  0x00000200  -
0x3C7C2D4000  0x00106000  +
0x3C7C3DA000  0x00001000  ?
0x3C7C3DB000  0x00106000  +
0x3C7C4E1000  0x00001000  ?
0x3C7C4E2000  0x00106000  +
0x3C7C5E8000  0x00001000  ?
0x3C7C5E9000  0x00106000  +
0x3C7C6EF000  0x00001000  ?
0x3C7C6F0000  0x00107000  +
0x3C7C7F7000  0x00001000  ?
0x3C7C7F8000  0x00243000  +
0x3C7CA3B000  0x00001000  ?
0x3C7CA3C000  0x00106000  +
0x3C7CB42000  0x00000200  -
0x3C7CB42200  0x00000C00  ?
0x3C7CB42E00  0x00000200  -
0x3C7CB43000  0x00106000  +
0x3C7CC49000  0x00001000  ?
0x3C7CC4A000  0x00314000  +
0x3C7CF5E000  0x00001000  ?
0x3C7CF5F000  0x0034A000  +
0x3C7D2A9000  0x00001000  ?
0x3C7D2AA000  0x00107000  +
0x3C7D3B1000  0x00001000  ?
0x3C7D3B2000  0x00106000  +
0x3C7D4B8000  0x00000200  -
0x3C7D4B8200  0x00106E00  +
0x3C7D5BF000  0x00000200  -
0x3C7D5BF200  0x00000E00  ?
0x3C7D5C0000  0x00243000  +
0x3C7D803000  0x00001000  ?
0x3C7D804000  0x00106000  +
0x3C7D90A000  0x00001000  ?
0x3C7D90B000  0x00106000  +
0x3C7DA11000  0x00001000  ?
0x3C7DA12000  0x00106000  +
0x3C7DB18000  0x00001000  ?
0x3C7DB19000  0x0020D000  +
0x3C7DD26000  0x00001000  ?
0x3C7DD27000  0x00244000  +
0x3C7DF6B000  0x00000200  -
0x3C7DF6B200  0x00000C00  ?
0x3C7DF6BE00  0x00000200  -
0x3C7DF6C000  0x00106000  +
0x3C7E072000  0x00001000  ?
0x3C7E073000  0x00106000  +
0x3C7E179000  0x00001000  ?
0x3C7E17A000  0x00106000  +
0x3C7E280000  0x00001000  ?
0x3C7E281000  0x00106000  +
0x3C7E387000  0x00001000  ?
0x3C7E388000  0x00106000  +
0x3C7E48E000  0x00001000  ?
0x3C7E48F000  0x00243000  +
0x3C7E6D2000  0x00001000  ?
0x3C7E6D3000  0x00106000  +
0x3C7E7D9000  0x00000200  -
0x3C7E7D9200  0x00000C00  ?
0x3C7E7D9E00  0x00000200  -
0x3C7E7DA000  0x00106000  +
0x3C7E8E0000  0x00001000  ?
0x3C7E8E1000  0x00107000  +
0x3C7E9E8000  0x00001000  ?
0x3C7E9E9000  0x00106000  +
0x3C7EAEF000  0x00001000  ?
0x3C7EAF0000  0x00106000  +
0x3C7EBF6000  0x00001000  ?
0x3C7EBF7000  0x00243000  +
0x3C7EE3A000  0x00001000  ?
0x3C7EE3B000  0x00106000  +
0x3C7EF41000  0x00001000  ?
0x3C7EF42000  0x00106000  +
0x3C7F048000  0x00001000  ?
0x3C7F049000  0x00106000  +
0x3C7F14F000  0x00000200  -
0x3C7F14F200  0x00000C00  ?
0x3C7F14FE00  0x00000200  -
0x3C7F150000  0x00106000  +
0x3C7F256000  0x00001000  ?
0x3C7F257000  0x00106000  +
0x3C7F35D000  0x00000200  ?
0x3C7F35D200  0x00244E00  +
0x3C7F5A2000  0x00000200  ?
0x3C7F5A2200  0x00106E00  +
0x3C7F6A9000  0x00001000  ?
0x3C7F6AA000  0x0020D000  +
0x3C7F8B7000  0x00001000  ?
0x3C7F8B8000  0x00106000  +
0x3C7F9BE000  0x00001000  ?
0x3C7F9BF000  0x00106000  +
0x3C7FAC5000  0x00000200  -
0x3C7FAC5200  0x00000C00  ?
0x3C7FAC5E00  0x00000200  -
0x3C7FAC6000  0x00243000  +
0x3C7FD09000  0x00001000  ?
0x3C7FD0A000  0x00106000  +
0x3C7FE10000  0x00001000  ?
0x3C7FE11000  0x00106000  +
0x3C7FF17000  0x00001000  ?
0x3C7FF18000  0x00106000  +
0x3C8001E000  0x00001000  ?
0x3C8001F000  0x00107000  +
0x3C80126000  0x00001000  ?
0x3C80127000  0x00106000  +
0x3C8022D000  0x00001000  ?
0x3C8022E000  0x00243000  +
0x3C80471000  0x00000200  -
0x3C80471200  0x00000C00  ?
0x3C80471E00  0x00000200  -
0x3C80472000  0x00106000  +
0x3C80578000  0x00001000  ?
0x3C80579000  0x00106000  +
0x3C8067F000  0x00001000  ?
0x3C80680000  0x00106000  +
0x3C80786000  0x00000200  ?
0x3C80786200  0x00106E00  +
0x3C8088D000  0x00001000  ?
0x3C8088E000  0x0034A000  +
0x3C80BD8000  0x00001000  ?
0x3C80BD9000  0x00107000  +
0x3C80CE0000  0x00001000  ?
0x3C80CE1000  0x00106000  +
0x3C80DE7000  0x00000200  -
0x3C80DE7200  0x00000C00  ?
0x3C80DE7E00  0x00000200  -
0x3C80DE8000  0x00451000  +
0x3C81239000  0x00001000  ?
0x3C8123A000  0x0041B000  +
0x3C81655000  0x00001000  ?
